,full_name,link,description,stars,forks,watchers,keywords,source
1064,yarpc-go,https://github.com/yarpc/yarpc-go.git,A message passing platform for Go,311,74,311,messaging+go+message-passing+rpc+grpc+protobuf+thrift+yarpc+microservices,GitHub
1065,kafka-websocket,https://github.com/b/kafka-websocket.git,Websocket server interface for Kafka distributed message broker,310,87,310,messaging,GitHub
1066,Obvs,https://github.com/christopherread/Obvs.git,"An observable microservice bus library for .NET, that wraps the underlying message transports in simple Rx based interfaces.",310,44,310,messaging+messaging+microservices+servicebus+observable+reactive-extensions+csharp+dotnet+obvs,GitHub
1067,FsPickler,https://github.com/mbraceproject/FsPickler.git,A fast multi-format message serializer for .NET,307,53,307,messaging+fsharp+picklers+serialization+binary+json+xml+bson,GitHub
1068,lsp-status.nvim,https://github.com/nvim-lua/lsp-status.nvim.git,"Utility functions for getting diagnostic status and progress messages from LSP servers, for use in the Neovim statusline",305,21,305,messaging+lsp-status+neovim+nvim+lsp-client+lua+statusline+neovim-plugin+lsp,GitHub
1069,sosumi,https://github.com/tylerhall/sosumi.git,A PHP client for Apple's Find My iPhone service. This allows you to programmatically retrieve your phone's current location and push messages (and an optional alarm) to the remote device.,305,46,305,messaging,GitHub
1070,AsyncMessagesViewController,https://github.com/nguyenhuy/AsyncMessagesViewController.git,"A smooth, responsive and flexible messages UI library for iOS.",304,36,304,messaging,GitHub
1071,brandico.font,https://github.com/fontello/brandico.font.git,Font with logos of social services & messagers,303,63,303,messaging,GitHub
1072,releaser-tools,https://github.com/conventional-changelog/releaser-tools.git,Create a GitHub/GitLab/etc. release using a project's commit messages and metadata. ,303,41,303,messaging+github+release-automation+release+changelog+git+tag+gitlab+metadata+history+release-notes+releases,GitHub
1073,joyqueue,https://github.com/chubaostream/joyqueue.git,A cloud-native production-quality messaging platform with high performance,302,110,302,messaging,GitHub
1074,wickr-crypto-c,https://github.com/WickrInc/wickr-crypto-c.git,An implementation of the Wickr Secure Messaging Protocol in C,300,80,300,messaging+cryptography+messaging+c+messaging-library+aes-256+elliptic-curves,GitHub
1075,steganography.js,https://github.com/petereigenschink/steganography.js.git,Hide secret messages with JavaScript and this library,300,54,300,messaging,GitHub
1076,react-native-android-sms-listener,https://github.com/andreyvital/react-native-android-sms-listener.git,Allows you to listen for incoming SMS messages using React Native,300,83,300,messaging+react-native+sms+android+react+sms-listener,GitHub
1077,WebViewJavascriptBridge,https://github.com/wendux/WebViewJavascriptBridge.git,An Android bridge for sending messages between Java and JavaScript in WebView. and this is also a mirror of https://github.com/marcuswestin/WebViewJavascriptBridge which supports IOS platforms. ,300,46,300,messaging,GitHub
1078,jslint-error-explanations,https://github.com/jamesallardice/jslint-error-explanations.git,:memo: Explanations of all the (sometimes cryptic) error messages thrown by JSLint and JSHint,299,34,299,messaging,GitHub
1079,Caliopen,https://github.com/CaliOpen/Caliopen.git,Entry point for Caliopen messaging platform project,297,24,297,messaging,GitHub
1080,go-slack-interactive,https://github.com/tcnksm/go-slack-interactive.git,Sample slack bot which uses slack interactive message (button & menue) written in Golang,296,73,296,messaging,GitHub
1081,react-intl-translations-manager,https://github.com/GertjanReynaert/react-intl-translations-manager.git,Manage all translations based on the extracted messages of the babel-plugin-react-intl,296,36,296,messaging+translation-management+translation-files,GitHub
1082,emoji,https://github.com/leereilly/emoji.git,":card_index: All of the emoji supported on GitHub pull requests, issues, comments, commit messages, markdown files, etc.",296,48,296,messaging,GitHub
1083,socket.io-tester,https://github.com/AppSaloon/socket.io-tester.git,Deprecated: An electron app that lets you connect to a socket.io server and subscribe to a certain topic and/or lets you send socket messages to the server,296,51,296,messaging+socket-io+websockets+developer-tools+electron+reactjs+socket-io-tester+socket-io-client+namespace+socket-message+redux+devtool+osx+windows,GitHub
1084,malamute,https://github.com/zeromq/malamute.git,The ZeroMQ Enterprise Messaging Broker,294,74,294,messaging,GitHub
1085,git-commit-message-convention,https://github.com/kazupon/git-commit-message-convention.git,:pencil: Extend git commit message from angular style,294,33,294,messaging,GitHub
1086,openapi-psr7-validator,https://github.com/thephpleague/openapi-psr7-validator.git,It validates PSR-7 messages (HTTP request/response) against OpenAPI specifications,294,43,294,messaging,GitHub
1087,ng2-toasty,https://github.com/akserg/ng2-toasty.git,Angular2 Toasty component shows growl-style alerts and messages for your app.,291,106,291,messaging+angular+angular2+angular4+growl+toasty,GitHub
1088,TcpEcho,https://github.com/davidfowl/TcpEcho.git,Basic TCP server that uses System.IO.Pipelines to parse line based messages,291,73,291,messaging,GitHub
1089,meteor-streams,https://github.com/arunoda/meteor-streams.git,Realtime messaging for Meteor,289,99,289,messaging,GitHub
1090,swivel,https://github.com/bevacqua/swivel.git,Message passing between ServiceWorker and pages made simple,287,13,287,messaging,GitHub
1091,hookbox,https://github.com/play-co/hookbox.git,HookBox is a Comet server and message queue that tightly integrates with your existing web application via web hooks and a REST interface.,285,21,285,messaging,GitHub
1092,fishroom,https://github.com/tuna/fishroom.git,Message forwarding for multiple IM protocols,283,59,283,messaging,GitHub
1093,PyWhatsapp,https://github.com/shauryauppal/PyWhatsapp.git,Python Automation using selenium & Scheduling of messages and media,283,123,283,messaging+python+selenium+automation+whatsapp+autoit+hacktoberfest,GitHub
1094,telegram.sh,https://github.com/fabianonline/telegram.sh.git,Send telegram messages right from your command line.,282,94,282,messaging+telegram+script+cli,GitHub
1095,telechan,https://github.com/easychen/telechan.git,message api for telegram bot  可供多人发送消息的 telegram 机器人 api ， 类似server酱的开源实现,282,178,282,messaging,GitHub
1096,aws-lambda-fanout,https://github.com/aws-samples/aws-lambda-fanout.git,A sample AWS Lambda function that accepts messages from an Amazon Kinesis Stream and transfers the messages to another data transport.,281,63,281,messaging,GitHub
