,full_name,link,description,stars,forks,watchers,keywords,source
22,google-airlines,https://github.com/spirosikmd/google-airlines.git,Google created their own airline logos for google flights for many airlines out there. This app displays a collection of them in random order.,3,0,3,airline+flight+google-flights+google-airlines+react+typescript,GitHub
23,Flight-Delay-Analysis-in-ML,https://github.com/Shikshamishra/Flight-Delay-Analysis-in-ML.git,"“Flight Delay Predictions” is a supervised machine learning project. The primary goal of this  project is to predict airline delays caused by various factors. Flight delays lead to negative  impacts, mainly economical for commuters, airline industries and airport authorities.  Furthermore, in the domain of sustainability, it can even cause environmental harm by the rise in  fuel consumption and gas emissions.  Here we train a regression model to predict if a flight will be delayed by more than 15  minutes. The model was trained using features of the flights known at the time of booking such  as the airline, month, week, and hour of departure. This report will help to understand basic concepts of supervised machine learning and the  concepts used in making this project.",3,1,3,airline+flight,GitHub
24,ifly---AirlineTicketBookingSite,https://github.com/kameshsrini/ifly---AirlineTicketBookingSite.git,"This is a comprehensive airline ticketing system where the users can search available flights based on origin, destination, journey date, seating class and type of travel. The system comes up with itinerary suggestions based on shortest duration, lowest price, etc., from which the user can pick an itinerary and book the tickets. The user can retrieve and print tickets at any time by logging in. It has been implemented using HTML, CSS, JavaScript, jQuery, AJAX, PHP and MySQL.",3,0,3,airline+flight,GitHub
25,Airline-Reservation-System,https://github.com/prabh124/Airline-Reservation-System.git,"The project created at hand is an Airline Reservation System which is outputted onto the console. A menu is displayed and users can pick from 3 options. If the input is 1, a random first class seat (1-5) will be booked. If first class becomes full, the user will be prompted to book an economy class seat, and vice versa if option 2 (seats 6-10) is chosen and becomes full. Option 3 will output the array and show which seats are reserved and unreserved. When the flight is booked the reservation status will be displayed and the program will exit.",3,0,3,airline+flight,GitHub
26,MH370_data,https://github.com/cfinch/MH370_data.git,Flight data for Malaysian Airlines Flight MH370,2,3,2,airline+flight,GitHub
27,Airline-Reservation-System,https://github.com/vneogi199/Airline-Reservation-System.git,A simple Airline Reservation System demo that helps to book tickets for flights.,2,2,2,airline+flight+demo+book-tickets+flight+airline-reservation+php+website+project,GitHub
28,Balkan-Air,https://github.com/itplamen/Balkan-Air.git,Airline reservation system for online flight booking with administration management and open API.,2,2,2,airline+flight+enityframework+webforms+mvp+webapi+flights+balkan-air+book-flights+flight,GitHub
29,easyjet-scraper,https://github.com/projectivemotion/easyjet-scraper.git,Easyjet Airline Flights Price Scraper,2,0,2,airline+flight,GitHub
30,Airline-Reservation-System,https://github.com/bluemotion/Airline-Reservation-System.git,A web based booking system for a local airline that runs multiple daily flights between Toronto and Montreal.,2,2,2,airline+flight,GitHub
31,ACRIS_Seamless_Travel,https://github.com/ACIWorld/ACRIS_Seamless_Travel.git,"REST-based webservice for providing airport, airline, flight, and service information as well as allow direct booking of services.",2,2,2,airline+flight,GitHub
