,full_name,link,description,stars,forks,watchers,keywords,source
0,angular-news-application-with-material,https://github.com/rachidsakara/angular-news-application-with-material.git,"Getting the latest live articles from a range of sources including BBC News, CNN, TechCrunch, Huffington Post and more, along with different categories like technology, sports, business, science and entertainment. I think that what makes this application special. ",49,100,49,entertainment+sports,GitHub
1,real-time-live-sports-updates-using-aws-appsync,https://github.com/amazon-archives/real-time-live-sports-updates-using-aws-appsync.git,"The Real-Time Live Sports Updates Using AWS AppSync solution is designed to help media and entertainment customers to deliver real-time live sports updates to web and mobile application via AppSync subscriptions. By leveraging the reference architecture implemented in this solution, M&E companies will be able to deliver sports scores, track live game/match info, send fantasty sports updtates. ",24,8,24,entertainment+sports,GitHub
2,NewsHub,https://github.com/karan7393065010/NewsHub.git,"News Hub display news of different category (Entertainment, Business, International, Sports, Medical, Technology, Global) and news can be saved as bookmark",14,0,14,entertainment+sports+android+kotlin+room+drawerlayout+navigation+retrofit2+news+api+livedata+room-database+motion-layout,GitHub
3,flutter_newsapp,https://github.com/yashjoshi007/flutter_newsapp.git,"This is a news app , which is used to fetch daily news  headlines ,including various categories such as :Sports ,Technology,Entertainment and many more. It can wholesomely be viewed on a native web view.",7,0,7,entertainment+sports,GitHub
4,Natural-Language-Processings-NLP-on-Swahili-News-Classification-,https://github.com/tomeliud/Natural-Language-Processings-NLP-on-Swahili-News-Classification-.git,"Develop a multi-class classification model to classify news content according to their specific categories i.e. Kimataifa News (International), Kitaifa news (National), Burudani News (Entertainment), Michezo News (Sports), and Biashara News (Biashara).",4,3,4,entertainment+sports+nlp,GitHub
